    0.168042476214430270E+01   -0.453469933226337432E+02    0.883549307534259448E-01   -0.538088276051807313E+00    0.177375340684359230E+03   -0.198723034667968750E+04
    0.343755045732505778E+03    0.220339849556698510E+02    0.212756739102750614E+00   -0.817641479392412052E+00    0.553682795460817715E+03   -0.198646948242187500E+04
    0.324682813247081810E+03    0.764976616853644487E+00    0.353569821253813288E+01   -0.148124219104092703E+01    0.243640890098742648E+04   -0.198607080078125000E+04
    0.298096466733009834E+03    0.961086759536215141E+01    0.537415081007696527E+00   -0.119820514121880350E+01    0.873776451144403950E+03   -0.198596313476562500E+04
    0.316262179178270742E+03   -0.426077257697922533E+02    0.904172917208423632E+00   -0.133837284471894158E+01    0.123046034568982395E+04   -0.198587390136718750E+04
    0.315813566948113021E+03   -0.238892103976804577E+02    0.117507572113746492E-01   -0.174007554990499358E+00    0.101608344740944275E+03   -0.198556347656250000E+04
    0.350673322764995362E+03   -0.687957898949491664E+00    0.271863654223218010E+00   -0.957585344370999181E+00    0.328723517389541485E+04   -0.198525097656250000E+04
    0.331796881051706805E+03   -0.508865097044535730E+01    0.173234163136372007E-02    0.908556288417550206E+00    0.285494100513755349E+02   -0.198484887695312500E+04
    0.318454061519864240E+03   -0.468207134542629007E+02    0.376215651283854161E-01   -0.436059146856106139E+00    0.160545440716781627E+03   -0.198484472656250000E+04
    0.289303330182922366E+03   -0.171689478758309377E+02    0.476624463958927436E+00   -0.118507644176052906E+01    0.795514115947486698E+04   -0.198471130371093750E+04
    0.307249094911086956E+03   -0.158537273823824592E+02    0.708819455724758463E-01   -0.788359593328156194E+00    0.211403556421543635E+04   -0.198463793945312500E+04
    0.334621961292680567E+03   -0.722081744140058390E+01    0.472110452036430834E-02   -0.179576560201635260E+00    0.377841054762494878E+03   -0.198459936523437500E+04
    0.317813592990774168E+03    0.118941947088924422E+02    0.266163863109982790E+01   -0.145618519775146460E+01    0.167095826512961912E+04   -0.198458959960937500E+04
    0.108811887545938362E+02   -0.390002832611231227E+02    0.439158059102639498E+00   -0.101341642665898135E+01    0.131708481911229592E+04   -0.198448364257812500E+04
    0.311148502357793234E+03    0.156586315125469753E+02    0.117235188998994344E+01   -0.126633776636479922E+01    0.333619211383434231E+04   -0.198448083496093750E+04
    0.338139588022937744E+03    0.850993082827228875E+01    0.836843198676837474E+01   -0.176909078189882152E+01    0.960284877368086563E+04   -0.198447875976562500E+04
    0.325108868180837760E+03    0.301416164656093173E+02    0.144193518701686840E-01   -0.159305553211948947E+00    0.161670891511356842E+03   -0.198444921875000000E+04
    0.128358752077029714E+01   -0.808361972167874399E+01    0.772245438954068675E+01   -0.140102298465074782E+01    0.377142715746518832E+03   -0.198434802246093750E+04
