

    0.110343835341465705E-94    0.100289486103475758E+04    0.139461736679077148E+03   -0.695835429210071652E+02    0.156409607465451347E-04    0.164580309391021729E+01    0.476662813148709483E+04   -0.197655776739120492E+01
    0.587447831399446635E-86    0.962706627191023586E+03    0.690980172157287598E+02    0.985638079714291848E+00    0.218186159987441739E-04    0.165904998779296875E+01    0.581300931140802822E+04   -0.477501012086868304E+01
    0.311580913098635888E-84    0.954762043592716282E+03    0.208053567409515381E+03   -0.707792590552773788E+02    0.985333570113567508E-02   -0.131205895543098450E+01    0.974393603014774385E+03   -0.452684249877929723E+01
    0.487474982932682161E-81    0.940048873205878294E+03    0.196174042224884033E+03    0.642870106204134402E+02    0.139555157963673609E-01   -0.117353251576423645E+01    0.156396331907922530E+03   -0.486820179224014282E+01
    0.250911668092753548E-78    0.927559138677545548E+03    0.120189292430877686E+03   -0.347575367087810179E+02    0.494938156995596845E+00    0.141652706265449524E+01    0.119188905245875262E+03   -0.288321647644042978E+01
    0.329713828581225220E-78    0.927010390407794830E+03    0.221031703948974609E+03   -0.248105861201815685E+02    0.608195336234865647E-02   -0.440244734287261963E+00    0.717742485280155961E+03   -0.253239173889160174E+01
    0.361029918202434514E-73    0.903800568000481803E+03    0.785529971122741699E+02   -0.293520850417870633E+02    0.479037149382718821E-02    0.198516449332237244E+01    0.678262818506653048E+03   -0.447890366315841693E+01
    0.315336785186673927E-72    0.899463537022096261E+03    0.120076253414154053E+03    0.458021352321845825E+02    0.154486465789159186E-01    0.100962227582931519E+01    0.819011769945986430E+03   -0.487068229913711548E+01
    0.150267928882907551E-68    0.882522798945544992E+03    0.961847877502441406E+02    0.704053267119746806E+01    0.571539136004578369E-01   -0.841769814491271973E+00    0.283259936829082733E+03   -0.175719645023345938E+01
    0.723908626974500387E-68    0.879375808374983535E+03    0.677222800254821777E+02   -0.936022549539345050E+01    0.399509307260717181E-03    0.693381518125534058E+00    0.483730147394081359E+04   -0.477825585603713954E+01
    0.256853428731727763E-66    0.872235287148208613E+03    0.632671308517456055E+02   -0.631564873249090226E+02    0.190035043143159839E+03    0.165782153606414795E+01    0.217081301633557757E+02   -0.293585793972015408E+01
    0.969793212887725178E-66    0.869575632627815253E+03    0.209803740978240967E+03   -0.166997863372182564E+01    0.871404721268395216E-01   -0.286555767059326172E+00    0.362159100327885568E+02   -0.181636140346527108E+01
    0.427568676409966917E-65    0.866605898330093737E+03    0.252690267562866211E+02   -0.453970683495462310E+02    0.402693035372344160E-01   -0.138019269704818726E+01    0.144023762596496248E+02   -0.161854361295700100E+01
    0.706938545939481302E-65    0.865597740694535901E+03    0.124515030384063721E+03   -0.578926932558943008E-01    0.454717450474522833E+00    0.178526079654693604E+01    0.156772908349636651E+03   -0.446863610744476336E+01
