    0.338654894828796387E+03   -0.332904785186041607E+02    0.635990149562238260E-04   -0.707756459712982178E+00    0.822433088043020325E+04   -0.224828412532806388E+01   -0.296389490447861647E+03
    0.344840154647827148E+03    0.213538324561372264E+02    0.357060115192181992E-03    0.139831191301345825E+01    0.292694104420238652E+02   -0.352860586643218976E+01   -0.296389490447861647E+03
    0.119293109939020539E+03   -0.501589458826368997E+02    0.107897123589450539E+01    0.773413318616182011E+00    0.145347643176846599E+02   -0.301495424541944557E+01   -0.294065004447604679E+03
    0.361305328307406484E+02   -0.538752553551610589E+02    0.244401254691039220E+02    0.209820562228707619E+01    0.232325876165085567E+02   -0.443801763228611001E+01   -0.292616947163259681E+03
    0.110339295693331749E+03   -0.855524301902416084E+01    0.290441627862026097E+01    0.119210507901107476E+01    0.436672943464702570E+02   -0.324187191096241634E+01   -0.291149015507423258E+03
    0.480081013106661558E+02   -0.457320738119828363E+02    0.725621636671518466E-01   -0.983921684584679435E+00    0.107636054855862007E+02   -0.482918445679342057E+01   -0.290634710290416365E+03
    0.466784792490103584E+02   -0.714873806389695545E+02    0.199639684838084659E-02   -0.144151439135544290E+01    0.543148678911211960E+03   -0.336749215718338224E+01   -0.290548948643533208E+03
    0.132103482522035023E+03   -0.533329304969648774E+02    0.737912397817310373E-02    0.493503698841541993E-01    0.109141869826263502E+03   -0.397377070144526590E+01   -0.290469326499373494E+03
    0.559079476749677085E+02   -0.145432997420057717E+02    0.339784152215276833E+02    0.105854375620953789E+01    0.354326521653635282E+02   -0.384994004729430195E+01   -0.290349990877620371E+03
    0.710234439083553326E+01   -0.634627263921985971E+02    0.697953490741036187E+00    0.127367012136796065E+01    0.442335173103096437E+02   -0.273091390431589298E+01   -0.289902689951055947E+03
    0.587441351160248573E+02   -0.271269199932345302E+02    0.156495248096939554E+01   -0.425964060401575306E+00    0.299380432952083311E+02   -0.444346615762804209E+01   -0.289598454741081582E+03
    0.943705841585990299E+02   -0.271649637265377280E+02    0.950785160410982932E-01    0.785475925951689913E+00    0.782328339195827596E+02   -0.275615165094793069E+01   -0.289478336248510630E+03
    0.472398725767509831E+02   -0.386569651715234386E+02    0.877441537484984124E+01    0.249952263688577370E+00    0.200953175542916753E+02   -0.418806406557073796E+01   -0.289398862179389596E+03
    0.350660473552998212E+03   -0.480386515887556556E+02    0.617440634609889183E+00    0.503322119496530274E+00    0.327746434065002958E+02   -0.372463785319452967E+01   -0.289209273786106962E+03
